cluster_imgs,centroid,cluster_rep,label
"[134, 257, 310, 403, 404, 406, 424, 425, 429, 430, 432, 433, 435, 436, 438, 439, 440, 441, 443, 445, 451, 452, 453, 455, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 475, 476, 477, 478, 482, 484, 527, 531, 560, 561, 564, 579, 583, 599, 618, 625, 727, 731, 803, 818, 855, 857, 896, 902, 913, 957, 1005, 1027, 1059, 1066, 1106, 1109, 1111, 1146, 1147, 1150, 1151, 1152, 1153, 1154, 1155, 1156, 1157, 1158, 1160, 1161, 1162, 1163, 1164, 1165, 1166, 1167, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1182, 1184, 1185, 1186, 1188, 1194, 1196, 1197, 1199, 1200, 1201, 1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1215, 1216, 1217, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230, 1231, 1232, 1233, 1234, 1235, 1236, 1237, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1266, 1269, 1271, 1284, 1289, 1308, 1311, 1315, 1318]","[-0.8315872093023251, -0.19455453488372002]",547716-00.png,Cluster 1
"[3, 6, 7, 11, 25, 26, 28, 40, 50, 53, 57, 58, 61, 67, 70, 73, 89, 96, 105, 110, 111, 115, 122, 125, 126, 141, 153, 154, 155, 160, 175, 181, 204, 210, 214, 217, 218, 244, 245, 253, 272, 273, 274, 277, 279, 285, 287, 289, 296, 321, 332, 343, 356, 361, 370, 371, 381, 382, 385, 389, 391, 407, 413, 414, 498, 507, 568, 571, 581, 582, 588, 595, 603, 610, 612, 614, 679, 681, 691, 706, 723, 724, 730, 732, 735, 736, 740, 741, 742, 748, 750, 763, 766, 768, 783, 790, 795, 798, 802, 807, 812, 817, 820, 821, 826, 829, 831, 834, 835, 836, 844, 854, 865, 868, 869, 877, 886, 887, 889, 890, 907, 916, 918, 921, 944, 951, 953, 955, 963, 964, 972, 975, 977, 983, 998, 999, 1013, 1017, 1021, 1025, 1030, 1038, 1053, 1054, 1058, 1070, 1081, 1084, 1097, 1101, 1124, 1137, 1138, 1191, 1192, 1267, 1309, 1319]","[0.8175803797468351, 0.36094639240506304]",435690-00.png,Cluster 2
"[5, 18, 30, 31, 32, 77, 93, 156, 158, 161, 169, 252, 269, 270, 276, 304, 362, 417, 442, 446, 490, 501, 541, 565, 566, 567, 569, 570, 576, 578, 591, 592, 598, 600, 602, 604, 606, 609, 626, 631, 632, 633, 635, 636, 637, 640, 641, 642, 644, 652, 654, 655, 656, 657, 658, 674, 675, 704, 705, 708, 709, 710, 715, 734, 755, 761, 762, 765, 769, 772, 773, 774, 775, 780, 804, 805, 810, 814, 815, 816, 823, 840, 853, 856, 859, 876, 880, 892, 894, 895, 898, 899, 900, 923, 924, 930, 931, 933, 935, 937, 943, 946, 947, 949, 950, 965, 966, 967, 973, 984, 1000, 1003, 1010, 1018, 1023, 1031, 1039, 1043, 1061, 1071, 1075, 1076, 1078, 1079, 1085, 1089, 1090, 1095, 1099, 1102, 1110, 1119, 1120, 1121, 1122, 1126, 1127, 1128, 1129, 1130, 1131, 1180, 1189, 1198, 1257, 1270, 1276, 1299, 1330, 1332]","[-0.225596333333333, 0.5029973333333331]",435635-00.png,Cluster 3
"[0, 8, 24, 33, 36, 41, 42, 52, 64, 76, 86, 97, 109, 114, 119, 120, 127, 128, 130, 135, 143, 144, 148, 149, 168, 184, 186, 189, 190, 199, 203, 206, 207, 212, 215, 222, 224, 226, 227, 228, 229, 230, 233, 234, 236, 241, 248, 255, 258, 259, 263, 264, 280, 288, 292, 299, 300, 301, 302, 319, 325, 338, 345, 351, 353, 354, 355, 358, 363, 366, 372, 375, 376, 380, 390, 392, 394, 399, 402, 405, 415, 428, 448, 508, 556, 557, 574, 586, 587, 611, 638, 659, 668, 673, 677, 678, 719, 722, 737, 745, 747, 749, 753, 754, 759, 782, 797, 822, 833, 837, 838, 881, 888, 908, 914, 915, 920, 980, 990, 992, 996, 1035, 1040, 1044, 1049, 1064, 1065, 1082, 1083, 1260, 1298, 1300]","[0.67301606060606, -0.445804848484848]",12675-00.png,Cluster 4
"[2, 4, 17, 56, 65, 98, 102, 103, 113, 116, 136, 137, 138, 205, 239, 271, 291, 316, 367, 398, 450, 479, 503, 522, 548, 551, 559, 594, 605, 613, 615, 616, 623, 629, 639, 643, 646, 648, 649, 669, 676, 683, 687, 688, 689, 690, 696, 698, 701, 707, 711, 726, 733, 739, 756, 758, 767, 784, 811, 845, 849, 850, 863, 870, 871, 874, 878, 884, 885, 906, 917, 926, 927, 928, 934, 936, 938, 939, 941, 942, 945, 948, 952, 968, 982, 994, 1001, 1004, 1006, 1009, 1012, 1015, 1024, 1032, 1036, 1041, 1045, 1052, 1057, 1060, 1069, 1073, 1098, 1125, 1132, 1133, 1279, 1280, 1296, 1312, 1329]","[0.32768927927927904, -0.18910864864864801]",436212-00.png,Cluster 5
"[1, 12, 13, 14, 23, 35, 37, 38, 39, 43, 45, 49, 54, 55, 60, 63, 68, 69, 71, 72, 78, 80, 81, 82, 83, 87, 88, 91, 92, 94, 95, 104, 106, 107, 108, 124, 132, 133, 140, 162, 170, 173, 174, 192, 195, 198, 201, 211, 220, 261, 265, 275, 281, 282, 295, 297, 303, 305, 306, 331, 374, 397, 409, 418, 511, 512, 515, 516, 524, 526, 542, 554, 572, 596, 617, 622, 634, 692, 700, 713, 714, 717, 743, 744, 809, 860, 1014, 1020, 1029, 1055, 1145, 1181, 1258, 1290, 1291, 1292, 1301, 1304, 1305, 1314, 1316, 1325, 1328]","[0.19404067961165, -0.853932427184465]",822737-00.png,Cluster 6
"[15, 21, 34, 46, 59, 85, 90, 164, 188, 193, 194, 196, 200, 209, 235, 237, 262, 278, 290, 309, 320, 322, 323, 326, 334, 336, 340, 346, 359, 360, 368, 377, 386, 388, 393, 408, 411, 421, 422, 423, 427, 434, 444, 480, 485, 487, 517, 528, 529, 575, 647, 661, 667, 682, 684, 685, 695, 699, 712, 718, 720, 721, 728, 738, 746, 751, 785, 788, 789, 791, 828, 846, 852, 862, 882, 904, 919, 929, 932, 940, 970, 971, 976, 986, 991, 1022, 1026, 1033, 1046, 1048, 1051, 1068, 1074, 1080, 1087, 1094, 1103, 1135, 1136, 1139, 1286]","[0.61669306930693, 0.752673861386138]",436240-00.png,Cluster 7
"[243, 251, 311, 419, 426, 481, 483, 486, 488, 489, 491, 492, 493, 494, 495, 496, 497, 499, 500, 502, 505, 506, 509, 513, 514, 519, 520, 521, 523, 530, 533, 534, 535, 536, 537, 538, 539, 540, 544, 547, 549, 550, 552, 553, 555, 558, 563, 580, 585, 1104, 1108, 1112, 1141, 1144, 1148, 1187, 1218, 1238, 1252, 1253, 1254, 1255, 1256, 1259, 1262, 1263, 1264, 1265, 1268, 1272, 1273, 1274, 1277, 1278, 1281, 1285, 1287, 1288, 1293, 1295, 1297, 1302, 1303, 1306, 1307, 1320, 1323, 1324, 1327, 1331, 1333, 1334, 1335]","[-0.22067677419354803, -0.454624301075268]",826758-00.png,Cluster 8
"[16, 22, 27, 51, 74, 157, 166, 167, 179, 191, 232, 242, 315, 317, 318, 324, 328, 335, 342, 347, 348, 349, 350, 364, 369, 373, 387, 412, 416, 420, 449, 504, 543, 573, 589, 590, 597, 624, 628, 630, 662, 664, 665, 666, 670, 671, 694, 702, 703, 729, 764, 770, 771, 776, 778, 786, 787, 792, 793, 794, 796, 800, 801, 806, 861, 864, 872, 873, 875, 893, 909, 912, 962, 1002, 1011, 1019, 1034, 1037, 1042, 1056, 1077, 1086, 1091, 1100, 1282, 1283, 1310, 1321, 1322]","[0.362123146067415, 0.36623831460674106]",15233-00.png,Cluster 9
"[9, 47, 75, 84, 112, 121, 129, 142, 147, 151, 159, 163, 171, 172, 178, 180, 182, 187, 246, 249, 250, 254, 256, 266, 294, 298, 312, 352, 357, 378, 384, 395, 400, 401, 410, 456, 474, 562, 577, 584, 607, 608, 653, 672, 680, 693, 752, 757, 777, 781, 799, 819, 824, 825, 832, 879, 897, 903, 910, 911, 922, 925, 954, 959, 960, 961, 974, 978, 987, 988, 989, 997, 1047, 1050, 1072, 1114, 1326]","[0.19757545454545403, 0.852480649350649]",437600-00.png,Cluster 10